INFO:root:=================================
INFO:root:0: ABF2_col_v3a
INFO:root:[1/1000]: train_auc: 78.59, train_loss: 0.6748, test_auc: 92.67, test_loss: 0.6456
INFO:root:[2/1000]: train_auc: 94.14, train_loss: 0.5997, test_auc: 95.18, test_loss: 0.5412
INFO:root:[3/1000]: train_auc: 95.04, train_loss: 0.4577, test_auc: 95.71, test_loss: 0.3760
INFO:root:[4/1000]: train_auc: 95.86, train_loss: 0.3155, test_auc: 96.32, test_loss: 0.2733
INFO:root:[5/1000]: train_auc: 96.52, train_loss: 0.2500, test_auc: 96.79, test_loss: 0.2342
INFO:root:[6/1000]: train_auc: 96.96, train_loss: 0.2201, test_auc: 97.06, test_loss: 0.2200
INFO:root:[7/1000]: train_auc: 97.30, train_loss: 0.2101, test_auc: 97.34, test_loss: 0.2049
INFO:root:[8/1000]: train_auc: 97.61, train_loss: 0.1887, test_auc: 97.60, test_loss: 0.1940
INFO:root:[9/1000]: train_auc: 97.84, train_loss: 0.1811, test_auc: 97.89, test_loss: 0.1823
INFO:root:[10/1000]: train_auc: 98.15, train_loss: 0.1643, test_auc: 98.11, test_loss: 0.1696
INFO:root:[11/1000]: train_auc: 98.38, train_loss: 0.1497, test_auc: 98.36, test_loss: 0.1562
INFO:root:[12/1000]: train_auc: 98.64, train_loss: 0.1394, test_auc: 98.55, test_loss: 0.1434
INFO:root:[13/1000]: train_auc: 98.82, train_loss: 0.1205, test_auc: 98.71, test_loss: 0.1312
INFO:root:[14/1000]: train_auc: 98.97, train_loss: 0.1114, test_auc: 98.84, test_loss: 0.1203
INFO:root:[15/1000]: train_auc: 99.08, train_loss: 0.1009, test_auc: 98.93, test_loss: 0.1109
INFO:root:[16/1000]: train_auc: 99.17, train_loss: 0.0917, test_auc: 99.00, test_loss: 0.1033
INFO:root:[17/1000]: train_auc: 99.26, train_loss: 0.0834, test_auc: 99.03, test_loss: 0.0970
INFO:root:[18/1000]: train_auc: 99.32, train_loss: 0.0956, test_auc: 99.05, test_loss: 0.0918
INFO:root:[19/1000]: train_auc: 99.41, train_loss: 0.0721, test_auc: 99.05, test_loss: 0.0887
INFO:root:[20/1000]: train_auc: 99.46, train_loss: 0.0693, test_auc: 99.06, test_loss: 0.0847
INFO:root:[21/1000]: train_auc: 99.50, train_loss: 0.0648, test_auc: 99.07, test_loss: 0.0821
INFO:root:[22/1000]: train_auc: 99.56, train_loss: 0.0653, test_auc: 99.07, test_loss: 0.0810
INFO:root:[23/1000]: train_auc: 99.59, train_loss: 0.0584, test_auc: 99.08, test_loss: 0.0787
INFO:root:[24/1000]: train_auc: 99.64, train_loss: 0.0561, test_auc: 99.08, test_loss: 0.0766
INFO:root:[25/1000]: train_auc: 99.67, train_loss: 0.0591, test_auc: 99.08, test_loss: 0.0760
INFO:root:[26/1000]: train_auc: 99.71, train_loss: 0.0515, test_auc: 99.08, test_loss: 0.0758
